time,motor,target_rad_s,speed_rad_s,wheel_speed_rad_s,commanded_torque_nm,closure_error_m
1.0799999999999919,p2_m3,0,-0.04035569133834864,-0.0418557970235984,0.0,1.550844551458739e-07
1.0799999999999919,p3_m0,0,0.02951669570394457,0.030082949313056176,0.0,1.550844551458739e-07
1.0799999999999919,p3_m1,0,-0.03992355997951596,-0.041114083157173346,0.0,1.550844551458739e-07
1.0799999999999919,p3_m2,0,0.03812128970590521,0.0392420986962141,0.0,1.550844551458739e-07
1.0799999999999919,p3_m3,0,-0.015746280303654582,-0.01580472267147605,0.0,1.550844551458739e-07
1.0899999999999908,p0_m0,0,-0.05476290333745602,-0.04988383405490318,0.0,7.72870228453755e-07
1.0899999999999908,p0_m1,0,-0.03368672354978093,-0.030843762200423792,0.0,7.72870228453755e-07
1.0899999999999908,p0_m2,0,0.031164277456965688,0.028532967218123522,0.0,7.72870228453755e-07
1.0899999999999908,p0_m3,0,0.07311779397639666,0.066812093330778,0.0,7.72870228453755e-07
1.0899999999999908,p1_m0,0,0.07936677856219634,0.0704508488988897,0.0,7.72870228453755e-07
1.0899999999999908,p1_m1,0,0.03488380607622271,0.03322307695851616,0.0,7.72870228453755e-07
1.0899999999999908,p1_m2,0,-0.03513420521688603,-0.03351146429746124,0.0,7.72870228453755e-07
1.0899999999999908,p1_m3,0,0.10168538917313408,0.1038722513082945,0.0,7.72870228453755e-07
1.0899999999999908,p2_m0,8,7.821817198156794,9.072789556137739,0.0025361149776774064,7.72870228453755e-07
1.0899999999999908,p2_m1,0,-0.034165223915605364,-0.03176165408868431,0.0,7.72870228453755e-07
1.0899999999999908,p2_m2,0,0.02786040218743113,0.02591060588676454,0.0,7.72870228453755e-07
1.0899999999999908,p2_m3,0,-0.09479442803348456,-0.08492574847041974,0.0,7.72870228453755e-07
1.0899999999999908,p3_m0,0,0.03810582469441206,0.0354142061702644,0.0,7.72870228453755e-07
1.0899999999999908,p3_m1,0,-0.07655158936503735,-0.07005726710130991,0.0,7.72870228453755e-07
1.0899999999999908,p3_m2,0,0.07378647898273516,0.06757493050813346,0.0,7.72870228453755e-07
1.0899999999999908,p3_m3,0,-0.018619794977165562,-0.01757152482087612,0.0,7.72870228453755e-07
1.0999999999999897,p0_m0,0,-0.023313439887854386,-0.023775979932262062,0.0,4.244078605208998e-07
1.0999999999999897,p0_m1,0,-0.008959974992557563,-0.009371226522850584,0.0,4.244078605208998e-07
1.0999999999999897,p0_m2,0,0.008200107821229395,0.008579687510431125,0.0,4.244078605208998e-07
1.0999999999999897,p0_m3,0,0.029300868459963623,0.029973072651460035,0.0,4.244078605208998e-07
