time,motor,target_rad_s,speed_rad_s,wheel_speed_rad_s,commanded_torque_nm,closure_error_m,fold_1_rad,body_x_m,body_y_m,mode
6.800000000000606,p3_m2,0.0,3.9347826769656e-05,3.934781220939198e-05,-1.1804348117858735e-07,4.827860556333805e-05,0.028276702345287577,-0.0038514145124737865,0.003312238387298054,manual
6.800000000000606,p3_m3,0.0,-0.00010798428626270793,-0.0001079842927370759,3.239528512965034e-07,4.827860556333805e-05,0.028276702345287577,-0.0038514145124737865,0.003312238387298054,manual
6.810000000000609,p0_m0,40.0,3.528193813326329e-07,3.516064379654924e-07,0.08,4.8278621833739835e-05,0.02827670678154951,-0.0038514145136092225,0.003312238363464621,manual
6.810000000000609,p0_m1,30.4,-5.439477992904625e-07,-5.42942948215425e-07,0.08,4.8278621833739835e-05,0.02827670678154951,-0.0038514145136092225,0.003312238363464621,manual
6.810000000000609,p0_m2,0.0,7.206795721958386e-06,7.1960081133228385e-06,-2.162933581682371e-08,4.8278621833739835e-05,0.02827670678154951,-0.0038514145136092225,0.003312238363464621,manual
6.810000000000609,p0_m3,0.0,-0.00010657583664881559,-0.00010657585783820461,3.1972750115734437e-07,4.8278621833739835e-05,0.02827670678154951,-0.0038514145136092225,0.003312238363464621,manual
6.810000000000609,p1_m0,20.89341514463627,4.4716688711649777e-07,4.734139457026767e-07,0.06268024414209031,4.8278621833739835e-05,0.02827670678154951,-0.0038514145136092225,0.003312238363464621,manual
6.810000000000609,p1_m1,0.0,3.6048712054418796e-05,3.6048758199941786e-05,-1.0814608230200422e-07,4.8278621833739835e-05,0.02827670678154951,-0.0038514145136092225,0.003312238363464621,manual
6.810000000000609,p1_m2,40.0,5.439252161865008e-07,5.42931203028437e-07,0.08,4.8278621833739835e-05,0.02827670678154951,-0.0038514145136092225,0.003312238363464621,manual
6.810000000000609,p1_m3,0.0,-0.00010589354558702487,-0.0001058934410137399,3.1768074847949083e-07,4.8278621833739835e-05,0.02827670678154951,-0.0038514145136092225,0.003312238363464621,manual
6.810000000000609,p2_m0,0.0,0.00015031329993804907,0.00015031335763633557,-4.509398341874428e-07,4.8278621833739835e-05,0.02827670678154951,-0.0038514145136092225,0.003312238363464621,manual
6.810000000000609,p2_m1,20.8492058382188,3.348130674390025e-07,3.6754531149304445e-07,0.06254761657336438,4.8278621833739835e-05,0.02827670678154951,-0.0038514145136092225,0.003312238363464621,manual
6.810000000000609,p2_m2,0.0,3.93932067367501e-05,3.939331485928227e-05,-1.1817950476519378e-07,4.8278621833739835e-05,0.02827670678154951,-0.0038514145136092225,0.003312238363464621,manual
6.810000000000609,p2_m3,10.27410975782174,4.980850369071687e-07,5.221646763409207e-07,0.030822327824194973,4.8278621833739835e-05,0.02827670678154951,-0.0038514145136092225,0.003312238363464621,manual
6.810000000000609,p3_m0,-10.285044855412727,-3.4659757579634315e-07,-3.807437147896975e-07,-0.03085513359217524,4.8278621833739835e-05,0.02827670678154951,-0.0038514145136092225,0.003312238363464621,manual
6.810000000000609,p3_m1,20.813088270140693,4.2654557323156504e-07,4.5480311303863903e-07,0.062439263584578714,4.8278621833739835e-05,0.02827670678154951,-0.0038514145136092225,0.003312238363464621,manual
6.810000000000609,p3_m2,0.0,3.934782541158464e-05,3.934781403635928e-05,-1.1804347629687607e-07,4.8278621833739835e-05,0.02827670678154951,-0.0038514145136092225,0.003312238363464621,manual
6.810000000000609,p3_m3,0.0,-0.00010798431096435212,-0.00010798431748310488,3.2395292556137956e-07,4.8278621833739835e-05,0.02827670678154951,-0.0038514145136092225,0.003312238363464621,manual
6.820000000000612,p0_m0,40.0,-0.006812405995886071,-0.006279617845750674,0.08,4.8403996020555553e-05,0.028322146815788624,-0.003851801630782806,0.0033123537095484236,manual
6.820000000000612,p0_m1,30.4,-0.007588485115493182,-0.007580472880811929,0.08,4.8403996020555553e-05,0.028322146815788624,-0.003851801630782806,0.0033123537095484236,manual
6.820000000000612,p0_m2,0.0,-0.017817733368371235,-0.0192062965706785,5.565274450900239e-05,4.8403996020555553e-05,0.028322146815788624,-0.003851801630782806,0.0033123537095484236,manual
6.820000000000612,p0_m3,0.0,-0.00010801591386905096,-0.00010713562568347645,3.244529620129699e-07,4.8403996020555553e-05,0.028322146815788624,-0.003851801630782806,0.0033123537095484236,manual
6.820000000000612,p1_m0,21.89341514463627,0.10597059343596416,0.07042738480409766,0.06533585979653836,4.8403996020555553e-05,0.028322146815788624,-0.003851801630782806,0.0033123537095484236,manual
6.820000000000612,p1_m1,0.0,1.9438509292628296e-05,1.939791552387921e-05,-5.6783374359434844e-08,4.8403996020555553e-05,0.028322146815788624,-0.003851801630782806,0.0033123537095484236,manual
6.820000000000612,p1_m2,40.0,0.007588270937730404,0.007580367284277808,0.08,4.8403996020555553e-05,0.028322146815788624,-0.003851801630782806,0.0033123537095484236,manual
6.820000000000612,p1_m3,0.0,-0.0001423024987859517,-0.00014323897268709584,4.301227010376907e-07,4.8403996020555553e-05,0.028322146815788624,-0.003851801630782806,0.0033123537095484236,manual
6.820000000000612,p2_m0,0.0,0.0001334980683138182,0.00013368325020387796,-3.985654162929629e-07,4.8403996020555553e-05,0.028322146815788624,-0.003851801630782806,0.0033123537095484236,manual
6.820000000000612,p2_m1,20.8492058382188,0.0049326519211396426,0.006176422454961941,0.06253642372903495,4.8403996020555553e-05,0.028322146815788624,-0.003851801630782806,0.0033123537095484236,manual
6.820000000000612,p2_m2,0.0,3.967647578554958e-06,3.0726205035614956e-06,-8.631877657846145e-09,4.8403996020555553e-05,0.028322146815788624,-0.003851801630782806,0.0033123537095484236,manual
6.820000000000612,p2_m3,10.27410975782174,0.006080897875049393,0.006896266053186898,0.030805982571712652,4.8403996020555553e-05,0.028322146815788624,-0.003851801630782806,0.0033123537095484236,manual
6.820000000000612,p3_m0,-10.285044855412727,-0.007105923581371806,-0.0070200913142086496,-0.0308319488938837,4.8403996020555553e-05,0.028322146815788624,-0.003851801630782806,0.0033123537095484236,manual
6.820000000000612,p3_m1,20.813088270140693,0.00888976254893536,0.008476455998387946,0.06240937883277743,4.8403996020555553e-05,0.028322146815788624,-0.003851801630782806,0.0033123537095484236,manual
6.820000000000612,p3_m2,0.0,3.828997714091273e-05,3.904719774508264e-05,-1.1459026126748009e-07,4.8403996020555553e-05,0.028322146815788624,-0.003851801630782806,0.0033123537095484236,manual
6.820000000000612,p3_m3,0.0,-0.00010714911992697493,-0.00010696662492812049,3.2162652900169434e-07,4.8403996020555553e-05,0.028322146815788624,-0.003851801630782806,0.0033123537095484236,manual
6.830000000000616,p0_m0,40.0,0.012177362132643674,0.012087552981005658,0.08,4.8763872304735355e-05,0.028435812388956636,-0.0038522055336138615,0.003312333888796407,manual
6.830000000000616,p0_m1,30.4,-0.012970355643726965,-0.012942323462027294,0.08,4.8763872304735355e-05,0.028435812388956636,-0.0038522055336138615,0.003312333888796407,manual
6.830000000000616,p0_m2,0.0,-0.007012256009549966,-0.004166877061302242,2.371262218533083e-05,4.8763872304735355e-05,0.028435812388956636,-0.0038522055336138615,0.003312333888796407,manual
6.830000000000616,p0_m3,0.0,-0.00010685924992040773,-0.00010679544832100814,3.2092052149659877e-07,4.8763872304735355e-05,0.028435812388956636,-0.0038522055336138615,0.003312333888796407,manual
6.830000000000616,p1_m0,21.89341514463627,0.049434247515948986,0.041176417730759786,0.06552026731663163,4.8763872304735355e-05,0.028435812388956636,-0.0038522055336138615,0.003312333888796407,manual
6.830000000000616,p1_m1,0.0,2.4898527085265033e-05,2.6062966550086142e-05,-7.321223017556788e-08,4.8763872304735355e-05,0.028435812388956636,-0.0038522055336138615,0.003312333888796407,manual
6.830000000000616,p1_m2,40.0,0.012969849266624743,0.01294211590740055,0.08,4.8763872304735355e-05,0.028435812388956636,-0.0038522055336138615,0.003312333888796407,manual
6.830000000000616,p1_m3,0.0,-0.00013049557246316536,-0.0001277746530096352,3.9472706532065203e-07,4.8763872304735355e-05,0.028435812388956636,-0.0038522055336138615,0.003312333888796407,manual
6.830000000000616,p2_m0,0.0,0.000139585556425273,0.00014087828052176404,-4.172083034517929e-07,4.8763872304735355e-05,0.028435812388956636,-0.0038522055336138615,0.003312333888796407,manual
6.830000000000616,p2_m1,20.8492058382188,0.011962278015539356,0.012688587260899449,0.06251264686068268,4.8763872304735355e-05,0.028435812388956636,-0.0038522055336138615,0.003312333888796407,manual
6.830000000000616,p2_m2,0.0,1.5766959946499157e-05,1.8473154552560766e-05,-4.410541708120602e-08,4.8763872304735355e-05,0.028435812388956636,-0.0038522055336138615,0.003312333888796407,manual
6.830000000000616,p2_m3,10.27410975782174,0.011606895026428045,0.01232420980661765,0.030788931396021565,4.8763872304735355e-05,0.028435812388956636,-0.0038522055336138615,0.003312333888796407,manual
6.830000000000616,p3_m0,-10.285044855412727,-0.003904171536435943,-0.003739682879558741,-0.03084379134897512,4.8763872304735355e-05,0.028435812388956636,-0.0038522055336138615,0.003312333888796407,manual
6.830000000000616,p3_m1,20.813088270140693,0.005588703102236148,0.0055819120686249595,0.06242366021163294,4.8763872304735355e-05,0.028435812388956636,-0.0038522055336138615,0.003312333888796407,manual
6.830000000000616,p3_m2,0.0,3.891901518767714e-05,3.8860877336648145e-05,-1.1653150078278701e-07,4.8763872304735355e-05,0.028435812388956636,-0.0038522055336138615,0.003312333888796407,manual
6.830000000000616,p3_m3,0.0,-0.00010703880340473925,-0.00010701248386971122,3.210279577983287e-07,4.8763872304735355e-05,0.028435812388956636,-0.0038522055336138615,0.003312333888796407,manual
6.840000000000619,p0_m0,40.0,0.01965316843624929,0.019522598890930082,0.08,4.928272070206232e-05,0.028594583007935253,-0.0038521213487956625,0.003312250094657761,manual
6.840000000000619,p0_m1,30.4,-0.01636158359227333,-0.016341635094886422,0.08,4.928272070206232e-05,0.028594583007935253,-0.0038521213487956625,0.003312250094657761,manual
6.840000000000619,p0_m2,0.0,-0.0026407513060683306,-0.0016036639898088264,8.35097225338898e-06,4.928272070206232e-05,0.028594583007935253,-0.0038521213487956625,0.003312250094657761,manual
6.840000000000619,p0_m3,0.0,-0.00010595705890364665,-0.0001059708888552951,3.180705940741832e-07,4.928272070206232e-05,0.028594583007935253,-0.0038521213487956625,0.003312250094657761,manual
6.840000000000619,p1_m0,21.89341514463627,0.025715717397316824,0.022825403486835857,0.06559908740664903,4.928272070206232e-05,0.028594583007935253,-0.0038521213487956625,0.003312250094657761,manual
6.840000000000619,p1_m1,0.0,2.898458036777672e-05,2.9911607579193773e-05,-8.586864069869619e-08,4.928272070206232e-05,0.028594583007935253,-0.0038521213487956625,0.003312250094657761,manual
6.840000000000619,p1_m2,40.0,0.01636121981237829,0.016341484642254493,0.08,4.928272070206232e-05,0.028594583007935253,-0.0038521213487956625,0.003312250094657761,manual
6.840000000000619,p1_m3,0.0,-0.00012138958174224617,-0.00011910791099150413,3.6660984297506757e-07,4.928272070206232e-05,0.028594583007935253,-0.0038521213487956625,0.003312250094657761,manual
6.840000000000619,p2_m0,0.0,0.00014371407027023765,0.0001446449697927916,-4.300683929378861e-07,4.928272070206232e-05,0.028594583007935253,-0.0038521213487956625,0.003312250094657761,manual
6.840000000000619,p2_m1,20.8492058382188,0.013658157079472212,0.013907174431940068,0.06250715491022102,4.928272070206232e-05,0.028594583007935253,-0.0038521213487956625,0.003312250094657761,manual
6.840000000000619,p2_m2,0.0,2.4642849258453955e-05,2.685498893302307e-05,-7.156973875058184e-08,4.928272070206232e-05,0.028594583007935253,-0.0038521213487956625,0.003312250094657761,manual
6.840000000000619,p2_m3,10.27410975782174,0.015423683207840844,0.015916707714673486,0.030776990648066237,4.928272070206232e-05,0.028594583007935253,-0.0038521213487956625,0.003312250094657761,manual
6.840000000000619,p3_m0,-10.285044855412727,-0.008809376021315674,-0.009549805051730986,-0.030830637678731305,4.928272070206232e-05,0.028594583007935253,-0.0038521213487956625,0.003312250094657761,manual
6.840000000000619,p3_m1,20.813088270140693,0.01269114825958791,0.013655994306662294,0.06240340274965037,4.928272070206232e-05,0.028594583007935253,-0.0038521213487956625,0.003312250094657761,manual
6.840000000000619,p3_m2,0.0,3.965507448211957e-05,3.962188061640641e-05,-1.1877358138251812e-07,4.928272070206232e-05,0.028594583007935253,-0.0038521213487956625,0.003312250094657761,manual
6.840000000000619,p3_m3,0.0,-0.0001075384634489786,-0.0001076554686810283,3.2245311811470193e-07,4.928272070206232e-05,0.028594583007935253,-0.0038521213487956625,0.003312250094657761,manual
6.850000000000622,p0_m0,40.0,0.019972915972137913,0.01994016967966298,0.08,4.990285753653248e-05,0.02877984981067078,-0.0038517690227724277,0.003312237129124154,manual
6.850000000000622,p0_m1,30.4,-0.018311312657158213,-0.018293731080883176,0.08,4.990285753653248e-05,0.02877984981067078,-0.0038517690227724277,0.003312237129124154,manual
6.850000000000622,p0_m2,0.0,-0.002645289972857366,-0.00266246213459639,7.767298069088619e-06,4.990285753653248e-05,0.02877984981067078,-0.0038517690227724277,0.003312237129124154,manual
6.850000000000622,p0_m3,0.0,-0.00010558628189426985,-0.00010571504718653667,3.168048477433212e-07,4.990285753653248e-05,0.02877984981067078,-0.0038517690227724277,0.003312237129124154,manual
6.850000000000622,p1_m0,21.89341514463627,0.019580473154838095,0.018886465305024143,0.06562085949159763,4.990285753653248e-05,0.02877984981067078,-0.0038517690227724277,0.003312237129124154,manual
6.850000000000622,p1_m1,0.0,3.244005234403368e-05,3.326276529754843e-05,-9.630873828349036e-08,4.990285753653248e-05,0.02877984981067078,-0.0038517690227724277,0.003312237129124154,manual
6.850000000000622,p1_m2,40.0,0.018310958308379678,0.0182935636353045,0.08,4.990285753653248e-05,0.02877984981067078,-0.0038517690227724277,0.003312237129124154,manual
6.850000000000622,p1_m3,0.0,-0.00011369565259431863,-0.00011169027821197105,3.4331216626376547e-07,4.990285753653248e-05,0.02877984981067078,-0.0038517690227724277,0.003312237129124154,manual
6.850000000000622,p2_m0,0.0,0.00014709381843809087,0.00014788786455336803,-4.402995090437726e-07,4.990285753653248e-05,0.02877984981067078,-0.0038517690227724277,0.003312237129124154,manual
6.850000000000622,p2_m1,20.8492058382188,0.016015552768863118,0.016357181991006737,0.06250036448185263,4.990285753653248e-05,0.02877984981067078,-0.0038517690227724277,0.003312237129124154,manual
6.850000000000622,p2_m2,0.0,3.2040384124722995e-05,3.3957972400222166e-05,-9.398747143219286e-08,4.990285753653248e-05,0.02877984981067078,-0.0038517690227724277,0.003312237129124154,manual
6.850000000000622,p2_m3,10.27410975782174,0.017745544310145172,0.01803741406924283,0.030769601838489896,4.990285753653248e-05,0.02877984981067078,-0.0038517690227724277,0.003312237129124154,manual
6.850000000000622,p3_m0,-10.285044855412727,-0.014597739957116206,-0.015333869904579245,-0.030812767542395775,4.990285753653248e-05,0.02877984981067078,-0.0038517690227724277,0.003312237129124154,manual
6.850000000000622,p3_m1,20.813088270140693,0.017858180183603405,0.018467344112735398,0.06238667708260659,4.990285753653248e-05,0.02877984981067078,-0.0038517690227724277,0.003312237129124154,manual
6.850000000000622,p3_m2,0.0,4.00700362798294e-05,3.997054129983521e-05,-1.2014207253905385e-07,4.990285753653248e-05,0.02877984981067078,-0.0038517690227724277,0.003312237129124154,manual
6.850000000000622,p3_m3,0.0,-0.00010796077595367302,-0.00010805083600556488,3.237907032487894e-07,4.990285753653248e-05,0.02877984981067078,-0.0038517690227724277,0.003312237129124154,manual
6.860000000000626,p0_m0,40.0,0.019424740305464722,0.01942927810915895,0.08,5.0576228555875504e-05,0.028976560055468035,-0.0038513647675579204,0.003312286817748157,manual
6.860000000000626,p0_m1,30.4,-0.01895399867149203,-0.018937945290271728,0.08,5.0576228555875504e-05,0.028976560055468035,-0.0038513647675579204,0.003312286817748157,manual
6.860000000000626,p0_m2,0.0,-0.003161255162331524,-0.003293774824575891,9.371539914022686e-06,5.0576228555875504e-05,0.028976560055468035,-0.0038513647675579204,0.003312286817748157,manual
6.860000000000626,p0_m3,0.0,-0.00010561915911199065,-0.00010582502832367488,3.168120327232272e-07,5.0576228555875504e-05,0.028976560055468035,-0.0038513647675579204,0.003312286817748157,manual
6.860000000000626,p1_m0,21.89341514463627,0.0190854290623285,0.019025173551832437,0.0656230106544738,5.0576228555875504e-05,0.028976560055468035,-0.0038513647675579204,0.003312286817748157,manual
6.860000000000626,p1_m1,0.0,3.561793930041747e-05,3.636753993337326e-05,-1.0596788888236202e-07,5.0576228555875504e-05,0.028976560055468035,-0.0038513647675579204,0.003312286817748157,manual
6.860000000000626,p1_m2,40.0,0.018953650643977294,0.01893776577847579,0.08,5.0576228555875504e-05,0.028976560055468035,-0.0038513647675579204,0.003312286817748157,manual
6.860000000000626,p1_m3,0.0,-0.00010678561394990592,-0.00010500641331728258,3.222685819987142e-07,5.0576228555875504e-05,0.028976560055468035,-0.0038513647675579204,0.003312286817748157,manual
6.860000000000626,p2_m0,0.0,0.00015015791133309223,0.00015086817089995076,-4.496245564512462e-07,5.0576228555875504e-05,0.028976560055468035,-0.0038513647675579204,0.003312286817748157,manual
6.860000000000626,p2_m1,20.8492058382188,0.018240852704513227,0.018517245826574324,0.06249339300861397,5.0576228555875504e-05,0.028976560055468035,-0.0038513647675579204,0.003312286817748157,manual
6.860000000000626,p2_m2,0.0,3.8653913816278924e-05,4.034647257925397e-05,-1.1413486698984723e-07,5.0576228555875504e-05,0.028976560055468035,-0.0038513647675579204,0.003312286817748157,manual
6.860000000000626,p2_m3,10.27410975782174,0.018724150159769175,0.018833813299205752,0.030766281426953666,5.0576228555875504e-05,0.028976560055468035,-0.0038513647675579204,0.003312286817748157,manual
6.860000000000626,p3_m0,-10.285044855412727,-0.01781070794681567,-0.018197276996800824,-0.03080231403688682,5.0576228555875504e-05,0.028976560055468035,-0.0038513647675579204,0.003312286817748157,manual
6.860000000000626,p3_m1,20.813088270140693,0.019537497552792854,0.019725528388701997,0.0623808560268749,5.0576228555875504e-05,0.028976560055468035,-0.0038513647675579204,0.003312286817748157,manual
6.860000000000626,p3_m2,0.0,4.011345938969077e-05,3.994282561683774e-05,-1.2036357365068186e-07,5.0576228555875504e-05,0.028976560055468035,-0.0038513647675579204,0.003312286817748157,manual
6.860000000000626,p3_m3,0.0,-0.00010814425766751775,-0.00010817624156569384,3.244018017416296e-07,5.0576228555875504e-05,0.028976560055468035,-0.0038513647675579204,0.003312286817748157,manual
6.870000000000629,p0_m0,40.0,0.01926448826383566,0.01926439400627385,0.08,5.1258758675218775e-05,0.029172122095619462,-0.003850967138833517,0.0033123606650611367,manual
6.870000000000629,p0_m1,30.4,-0.018475988918059787,-0.01846327931508291,0.08,5.1258758675218775e-05,0.029172122095619462,-0.003850967138833517,0.0033123606650611367,manual
