time,motor,target_rad_s,speed_rad_s,wheel_speed_rad_s,commanded_torque_nm,closure_error_m
8.860000000000529,p3_m0,0,-0.05338972136201782,-0.05413454574935204,0.0,1.539342125520415e-06
8.860000000000529,p3_m1,0,0.030836520713079425,0.031085408064995313,0.0,1.539342125520415e-06
8.860000000000529,p3_m2,0,-0.030374147669880457,-0.030611781205219433,0.0,1.539342125520415e-06
8.860000000000529,p3_m3,0,0.10682435403359286,0.10839259870117407,0.0,1.539342125520415e-06
8.870000000000523,p0_m0,0,-0.021931424228128844,-0.025305808474403536,0.0,4.15275824900874e-07
8.870000000000523,p0_m1,0,0.03847790410927412,0.0428490113177817,0.0,4.15275824900874e-07
8.870000000000523,p0_m2,0,-0.03391726150280023,-0.03815997249995036,0.0,4.15275824900874e-07
8.870000000000523,p0_m3,0,0.05795618946203697,0.06454950183369189,0.0,4.15275824900874e-07
8.870000000000523,p1_m0,8,5.742839018863349,5.293368757046763,0.0053735169512158865,4.15275824900874e-07
8.870000000000523,p1_m1,0,-0.015995677876532294,-0.017500657763850347,0.0,4.15275824900874e-07
8.870000000000523,p1_m2,0,0.008389764455365286,0.009301542775456325,0.0,4.15275824900874e-07
8.870000000000523,p1_m3,0,-0.019193138169253048,-0.021098740398131487,0.0,4.15275824900874e-07
8.870000000000523,p2_m0,0,0.026436853606843908,0.02888529293466385,0.0,4.15275824900874e-07
8.870000000000523,p2_m1,0,-0.004775755456183991,-0.005168071660418104,0.0,4.15275824900874e-07
8.870000000000523,p2_m2,0,0.0010204845116419752,0.0010290581176263494,0.0,4.15275824900874e-07
8.870000000000523,p2_m3,0,0.001954910910467,0.002426645359220199,0.0,4.15275824900874e-07
8.870000000000523,p3_m0,0,-0.03167060491408903,-0.03436696308703469,0.0,4.15275824900874e-07
8.870000000000523,p3_m1,0,0.02050145327075568,0.021865754939397426,0.0,4.15275824900874e-07
8.870000000000523,p3_m2,0,-0.0219033899965566,-0.023480142616121802,0.0,4.15275824900874e-07
8.870000000000523,p3_m3,0,0.060746016130471175,0.06631105129697437,0.0,4.15275824900874e-07
8.880000000000518,p0_m0,0,0.006261637454425863,0.006305060493319467,0.0,1.8052074458836505e-06
8.880000000000518,p0_m1,0,-0.0531762031652394,-0.05242398433305365,0.0,1.8052074458836505e-06
8.880000000000518,p0_m2,0,-0.00958784061878365,-0.007882185110401917,0.0,1.8052074458836505e-06
8.880000000000518,p0_m3,0,0.07258953466230128,0.07121651356207451,0.0,1.8052074458836505e-06
8.880000000000518,p1_m0,0,1.8514274063880052,1.8877012896862515,0.0,1.8052074458836505e-06
8.880000000000518,p1_m1,8,1.6161435685274135,1.5125444093805496,0.015,1.8052074458836505e-06
8.880000000000518,p1_m2,0,-0.13545961633257114,-0.13312103671465078,0.0,1.8052074458836505e-06
8.880000000000518,p1_m3,0,0.05045828826041949,0.04935783658090835,0.0,1.8052074458836505e-06
8.880000000000518,p2_m0,0,-0.10356593980804613,-0.10166318720930327,0.0,1.8052074458836505e-06
8.880000000000518,p2_m1,0,0.05382402859937923,0.05272080036649131,0.0,1.8052074458836505e-06
8.880000000000518,p2_m2,0,-0.06583061518459506,-0.06463066880496855,0.0,1.8052074458836505e-06
8.880000000000518,p2_m3,0,0.17819065451976052,0.17491784794187998,0.0,1.8052074458836505e-06
8.880000000000518,p3_m0,0,0.09183110908080867,0.09011576428664417,0.0,1.8052074458836505e-06
8.880000000000518,p3_m1,0,-0.017236101307526265,-0.016799334871206325,0.0,1.8052074458836505e-06
8.880000000000518,p3_m2,0,0.01747766055864594,0.01720417790865642,0.0,1.8052074458836505e-06
8.880000000000518,p3_m3,0,-0.0163564489648873,-0.016025324076510684,0.0,1.8052074458836505e-06
8.890000000000512,p0_m0,0,0.030702538160006475,0.030535656752273804,0.0,3.032404894042681e-06
8.890000000000512,p0_m1,0,-0.11234817077576965,-0.11179850746641537,0.0,3.032404894042681e-06
8.890000000000512,p0_m2,0,0.0506155735514199,0.050995727564293665,0.0,3.032404894042681e-06
8.890000000000512,p0_m3,0,0.05004465888725564,0.04982884314005529,0.0,3.032404894042681e-06
8.890000000000512,p1_m0,0,0.9571514233574462,0.9943291630944375,0.0,3.032404894042681e-06
8.890000000000512,p1_m1,8,2.031792491856046,2.022112037913237,0.015,3.032404894042681e-06
8.890000000000512,p1_m2,0,-0.19710730911841962,-0.1960532183701887,0.0,3.032404894042681e-06
8.890000000000512,p1_m3,0,0.082635586051272,0.08211689525971164,0.0,3.032404894042681e-06
8.890000000000512,p2_m0,0,-0.16459111079083694,-0.1636384610550849,0.0,3.032404894042681e-06
8.890000000000512,p2_m1,0,0.0758212372455761,0.0754725309237452,0.0,3.032404894042681e-06
8.890000000000512,p2_m2,0,-0.09348043886904855,-0.09310129182572084,0.0,3.032404894042681e-06
8.890000000000512,p2_m3,0,0.24199672813230502,0.24058858787174095,0.0,3.032404894042681e-06
8.890000000000512,p3_m0,0,0.15233896676829395,0.1514524688118115,0.0,3.032404894042681e-06
8.890000000000512,p3_m1,0,-0.038375435411212334,-0.03815747071134866,0.0,3.032404894042681e-06
8.890000000000512,p3_m2,0,0.044657209634093704,0.0444965243436235,0.0,3.032404894042681e-06
8.890000000000512,p3_m3,0,-0.07425085309488638,-0.07382267271336512,0.0,3.032404894042681e-06
8.900000000000507,p0_m0,0,0.021008817706723477,0.021002367420240486,0.0,1.3426946918842581e-06
8.900000000000507,p0_m1,0,-0.05776348779751712,-0.05860404818419074,0.0,1.3426946918842581e-06
8.900000000000507,p0_m2,0,0.03562089349959888,0.03577429450232031,0.0,1.3426946918842581e-06
8.900000000000507,p0_m3,0,0.00963291845855098,0.010710571161680034,0.0,1.3426946918842581e-06
8.900000000000507,p1_m0,0,0.8056510979722649,0.7610820017329101,0.0,1.3426946918842581e-06
8.900000000000507,p1_m1,8,6.907103349439829,6.760292098663106,0.0016640930890477214,1.3426946918842581e-06
8.900000000000507,p1_m2,0,-0.08792441194785629,-0.09009648693569448,0.0,1.3426946918842581e-06
8.900000000000507,p1_m3,0,0.03857942894212956,0.039444197482008975,0.0,1.3426946918842581e-06
8.900000000000507,p2_m0,0,-0.06703758191635822,-0.06936498276779429,0.0,1.3426946918842581e-06
8.900000000000507,p2_m1,0,0.030394542738035928,0.03154321775124022,0.0,1.3426946918842581e-06
8.900000000000507,p2_m2,0,-0.037609283627426125,-0.038899857321428616,0.0,1.3426946918842581e-06
8.900000000000507,p2_m3,0,0.09593172084714358,0.09932996786734753,0.0,1.3426946918842581e-06
