time,motor,target_rad_s,speed_rad_s,wheel_speed_rad_s,commanded_torque_nm,closure_error_m,fold_1_rad,body_x_m,body_y_m,mode
0.010000000000000002,p0_m0,0.0,3.760231257608319e-11,3.7398115493303407e-11,-1.1580590928530864e-13,4.6999022172162595e-14,0.5500000000004558,4.0823789157390135e-14,-9.507377853478732e-15,drive
0.010000000000000002,p0_m1,0.0,2.1190041374031764e-10,2.2232620638940049e-10,-7.219281206179978e-13,4.6999022172162595e-14,0.5500000000004558,4.0823789157390135e-14,-9.507377853478732e-15,drive
0.010000000000000002,p0_m2,0.0,-1.9460594555892032e-12,-1.1893190904332944e-11,5.6325829653679255e-15,4.6999022172162595e-14,0.5500000000004558,4.0823789157390135e-14,-9.507377853478732e-15,drive
0.010000000000000002,p0_m3,0.0,1.3476034688618366e-12,8.371747406421548e-12,-3.838374021881767e-15,4.6999022172162595e-14,0.5500000000004558,4.0823789157390135e-14,-9.507377853478732e-15,drive
0.010000000000000002,p1_m0,0.0,3.844897484844866e-11,4.634437733574971e-11,-1.1982407622865017e-13,4.6999022172162595e-14,0.5500000000004558,4.0823789157390135e-14,-9.507377853478732e-15,drive
0.010000000000000002,p1_m1,0.0,-2.012719603401939e-12,-1.2126654014288358e-11,5.907617343382727e-15,4.6999022172162595e-14,0.5500000000004558,4.0823789157390135e-14,-9.507377853478732e-15,drive
0.010000000000000002,p1_m2,0.0,-2.104927469935049e-10,-2.0740967959786993e-10,7.152503417770545e-13,4.6999022172162595e-14,0.5500000000004558,4.0823789157390135e-14,-9.507377853478732e-15,drive
0.010000000000000002,p1_m3,0.0,-1.013676218801555e-12,-6.016595111013602e-12,3.0248267447649093e-15,4.6999022172162595e-14,0.5500000000004558,4.0823789157390135e-14,-9.507377853478732e-15,drive
0.010000000000000002,p2_m0,0.0,-2.042752580583289e-12,-1.2315615749436412e-11,6.00657530044264e-15,4.6999022172162595e-14,0.5500000000004558,4.0823789157390135e-14,-9.507377853478732e-15,drive
0.010000000000000002,p2_m1,0.0,4.0315979021829227e-11,4.868739056362869e-11,-1.2790130172110932e-13,4.6999022172162595e-14,0.5500000000004558,4.0823789157390135e-14,-9.507377853478732e-15,drive
0.010000000000000002,p2_m2,0.0,-1.0513525480411232e-12,-6.246888423211415e-12,3.1386539885276273e-15,4.6999022172162595e-14,0.5500000000004558,4.0823789157390135e-14,-9.507377853478732e-15,drive
0.010000000000000002,p2_m3,0.0,-2.1045911280423573e-10,-2.0701684927404422e-10,7.150840565128075e-13,4.6999022172162595e-14,0.5500000000004558,4.0823789157390135e-14,-9.507377853478732e-15,drive
0.010000000000000002,p3_m0,0.0,2.1194262374806778e-10,2.2276456723702154e-10,-7.221321967812809e-13,4.6999022172162595e-14,0.5500000000004558,4.0823789157390135e-14,-9.507377853478732e-15,drive
